symboling,normalized_losses,make,fuel_type,aspiration,num_of_doors,body-style,drive_wheels,engine_location,wheel_base,length,width,height,curb_weight,engine_type,num_of_cylinders,engine_size,fuel_system,bore,stroke,compression-ratio,horsepower,peak_rpm,city_L/100km,highway_L/100km,price,horsepower-binned,fuel-type-diesel,fuel-type-gas
-1,110,dodge,gas,std,four,wagon,fwd,front,103.3,0.5,0.3675213675213672,1.0,2535,ohc,four,122,2bbl,3.34,3.46,8.5,88.0,5000.0,9.791666666666666,7.833333333333333,8921.0,Low,False,True
3,145,dodge,gas,turbo,two,hatchback,fwd,front,95.9,0.4791044776119402,0.5128205128205127,0.20000000000000048,2811,ohc,four,156,mfi,3.6,3.9,7.0,145.0,5000.0,12.368421052631579,9.791666666666666,12964.0,Medium,False,True
2,137,honda,gas,std,two,hatchback,fwd,front,86.6,0.05223880597014925,0.30769230769230776,0.25,1713,ohc,four,92,1bbl,2.91,3.41,9.6,58.0,4800.0,4.795918367346939,4.351851851851852,6479.0,Low,False,True
2,137,honda,gas,std,two,hatchback,fwd,front,86.6,0.05223880597014925,0.30769230769230776,0.25,1819,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000.0,7.580645161290323,6.184210526315789,6855.0,Low,False,True
1,101,honda,gas,std,two,hatchback,fwd,front,93.7,0.13283582089552248,0.3162393162393164,0.40000000000000036,1837,ohc,four,79,1bbl,2.91,3.07,10.1,60.0,5500.0,6.184210526315789,5.595238095238095,5399.0,Low,False,True
1,101,honda,gas,std,two,hatchback,fwd,front,93.7,0.13283582089552248,0.3162393162393164,0.40000000000000036,1940,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000.0,7.833333333333333,6.911764705882353,6529.0,Low,False,True
1,101,honda,gas,std,two,hatchback,fwd,front,93.7,0.13283582089552248,0.3162393162393164,0.40000000000000036,1956,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000.0,7.833333333333333,6.911764705882353,7129.0,Low,False,True
0,110,honda,gas,std,four,sedan,fwd,front,96.5,0.33283582089552255,0.3162393162393164,0.5583333333333336,2010,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000.0,7.833333333333333,6.911764705882353,7295.0,Low,False,True
0,78,honda,gas,std,four,wagon,fwd,front,96.5,0.23880597014925373,0.30769230769230776,0.875,2024,ohc,four,92,1bbl,2.92,3.41,9.2,76.0,6000.0,7.833333333333333,6.911764705882353,7295.0,Low,False,True
0,106,honda,gas,std,two,hatchback,fwd,front,96.5,0.39402985074626873,0.4188034188034192,0.4583333333333333,2236,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800.0,8.703703703703704,7.121212121212121,7895.0,Low,False,True
0,106,honda,gas,std,two,hatchback,fwd,front,96.5,0.39402985074626873,0.4188034188034192,0.4583333333333333,2289,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800.0,8.703703703703704,7.121212121212121,9095.0,Low,False,True
0,85,honda,gas,std,four,sedan,fwd,front,96.5,0.5119402985074628,0.4188034188034192,0.5250000000000004,2304,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800.0,8.703703703703704,7.121212121212121,8845.0,Low,False,True
0,85,honda,gas,std,four,sedan,fwd,front,96.5,0.5119402985074628,0.18803418803418823,0.5250000000000004,2372,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800.0,8.703703703703704,7.121212121212121,10295.0,Low,False,True
0,85,honda,gas,std,four,sedan,fwd,front,96.5,0.5119402985074628,0.4188034188034192,0.5250000000000004,2465,ohc,four,110,mpfi,3.15,3.58,9.0,101.0,5800.0,9.791666666666666,8.392857142857142,12945.0,Low,False,True
1,107,honda,gas,std,two,sedan,fwd,front,96.5,0.417910447761194,0.4871794871794873,0.2666666666666669,2293,ohc,four,110,2bbl,3.15,3.58,9.1,100.0,5500.0,9.4,7.580645161290323,10345.0,Low,False,True
0,122,isuzu,gas,std,four,sedan,rwd,front,94.3,0.4417910447761193,0.12820512820512817,0.47500000000000026,2337,ohc,four,111,2bbl,3.31,3.23,8.5,78.0,4800.0,9.791666666666666,8.10344827586207,6785.0,Low,False,True
2,122,isuzu,gas,std,two,hatchback,rwd,front,96.0,0.4701492537313433,0.4188034188034192,0.3000000000000001,2734,ohc,four,119,spfi,3.43,3.23,9.2,90.0,5000.0,9.791666666666666,8.10344827586207,11048.0,Low,False,True
0,145,jaguar,gas,std,four,sedan,rwd,front,113.0,0.8731343283582089,0.7948717948717945,0.4166666666666667,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176.0,4750.0,15.666666666666666,12.368421052631579,32250.0,Medium,False,True
0,122,jaguar,gas,std,four,sedan,rwd,front,113.0,0.8731343283582089,0.7948717948717945,0.4166666666666667,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176.0,4750.0,15.666666666666666,12.368421052631579,35550.0,Medium,False,True
0,122,jaguar,gas,std,two,sedan,rwd,front,102.0,0.7552238805970148,0.8803418803418799,0.0,3950,ohcv,twelve,326,mpfi,3.54,2.76,11.5,262.0,5000.0,18.076923076923077,13.823529411764707,36000.0,High,False,True
1,104,mazda,gas,std,two,hatchback,fwd,front,93.1,0.26865671641791045,0.33333333333333376,0.5250000000000004,1890,ohc,four,91,2bbl,3.03,3.15,9.0,68.0,5000.0,7.833333333333333,7.580645161290323,5195.0,Low,False,True
1,104,mazda,gas,std,two,hatchback,fwd,front,93.1,0.26865671641791045,0.33333333333333376,0.5250000000000004,1900,ohc,four,91,2bbl,3.03,3.15,9.0,68.0,5000.0,7.580645161290323,6.184210526315789,6095.0,Low,False,True
1,104,mazda,gas,std,two,hatchback,fwd,front,93.1,0.26865671641791045,0.33333333333333376,0.5250000000000004,1905,ohc,four,91,2bbl,3.03,3.15,9.0,68.0,5000.0,7.580645161290323,6.184210526315789,6795.0,Low,False,True
1,113,mazda,gas,std,four,sedan,fwd,front,93.1,0.38358208955223905,0.33333333333333376,0.5250000000000004,1945,ohc,four,91,2bbl,3.03,3.15,9.0,68.0,5000.0,7.580645161290323,6.184210526315789,6695.0,Low,False,True
1,113,mazda,gas,std,four,sedan,fwd,front,93.1,0.38358208955223905,0.33333333333333376,0.5250000000000004,1950,ohc,four,91,2bbl,3.08,3.15,9.0,68.0,5000.0,7.580645161290323,6.184210526315789,7395.0,Low,False,True
3,150,mazda,gas,std,two,hatchback,rwd,front,95.3,0.4164179104477613,0.4615384615384619,0.15000000000000036,2380,rotor,two,70,4bbl,3.3297512437810943,3.255422885572139,9.4,101.0,6000.0,13.823529411764707,10.217391304347826,10945.0,Low,False,True
3,150,mazda,gas,std,two,hatchback,rwd,front,95.3,0.4164179104477613,0.4615384615384619,0.15000000000000036,2380,rotor,two,70,4bbl,3.3297512437810943,3.255422885572139,9.4,101.0,6000.0,13.823529411764707,10.217391304347826,11845.0,Low,False,True
3,150,mazda,gas,std,two,hatchback,rwd,front,95.3,0.4164179104477613,0.4615384615384619,0.15000000000000036,2385,rotor,two,70,4bbl,3.3297512437810943,3.255422885572139,9.4,101.0,6000.0,13.823529411764707,10.217391304347826,13645.0,Low,False,True
3,150,mazda,gas,std,two,hatchback,rwd,front,95.3,0.4164179104477613,0.4615384615384619,0.15000000000000036,2500,rotor,two,80,mpfi,3.3297512437810943,3.255422885572139,9.4,135.0,6000.0,14.6875,10.217391304347826,15645.0,Medium,False,True
1,129,mazda,gas,std,two,hatchback,fwd,front,98.8,0.547761194029851,0.52991452991453,0.49166666666666714,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,9.038461538461538,7.34375,8845.0,Low,False,True
0,115,mazda,gas,std,four,sedan,fwd,front,98.8,0.547761194029851,0.52991452991453,0.6416666666666669,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,9.038461538461538,7.34375,8495.0,Low,False,True
1,129,mazda,gas,std,two,hatchback,fwd,front,98.8,0.547761194029851,0.52991452991453,0.49166666666666714,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,9.038461538461538,7.34375,10595.0,Low,False,True
0,115,mazda,gas,std,four,sedan,fwd,front,98.8,0.547761194029851,0.52991452991453,0.6416666666666669,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,9.038461538461538,7.34375,10245.0,Low,False,True
0,122,mazda,diesel,std,four,sedan,fwd,front,98.8,0.547761194029851,0.52991452991453,0.6416666666666669,2443,ohc,four,122,idi,3.39,3.39,22.7,64.0,4650.0,6.527777777777778,5.595238095238095,10795.0,Low,True,False
0,115,mazda,gas,std,four,hatchback,fwd,front,98.8,0.547761194029851,0.52991452991453,0.6416666666666669,2425,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,9.038461538461538,7.34375,11245.0,Low,False,True
0,118,mazda,gas,std,four,sedan,rwd,front,104.9,0.5059701492537314,0.49572649572649535,0.5500000000000002,2670,ohc,four,140,mpfi,3.76,3.16,8.0,120.0,5000.0,12.368421052631579,8.703703703703704,18280.0,Medium,False,True
0,122,mazda,diesel,std,four,sedan,rwd,front,104.9,0.5059701492537314,0.49572649572649535,0.5500000000000002,2700,ohc,four,134,idi,3.43,3.64,22.0,72.0,4200.0,7.580645161290323,6.0256410256410255,18344.0,Low,True,False
-1,93,mercedes-benz,diesel,turbo,four,sedan,rwd,front,110.0,0.7432835820895524,0.8547008547008544,0.7250000000000002,3515,ohc,five,183,idi,3.58,3.64,21.5,123.0,4350.0,10.681818181818182,9.4,25552.0,Medium,True,False
-1,93,mercedes-benz,diesel,turbo,four,wagon,rwd,front,110.0,0.7432835820895524,0.8547008547008544,0.9083333333333338,3750,ohc,five,183,idi,3.58,3.64,21.5,123.0,4350.0,10.681818181818182,9.4,28248.0,Medium,True,False
0,93,mercedes-benz,diesel,turbo,two,hardtop,rwd,front,106.7,0.6925373134328359,0.8547008547008544,0.5916666666666668,3495,ohc,five,183,idi,3.58,3.64,21.5,123.0,4350.0,10.681818181818182,9.4,28176.0,Medium,True,False
-1,93,mercedes-benz,diesel,turbo,four,sedan,rwd,front,115.6,0.917910447761194,0.9743589743589746,0.7083333333333334,3770,ohc,five,183,idi,3.58,3.64,21.5,123.0,4350.0,10.681818181818182,9.4,31600.0,Medium,True,False
-1,122,mercedes-benz,gas,std,four,sedan,rwd,front,115.6,0.917910447761194,0.9743589743589746,0.7250000000000002,3740,ohcv,eight,234,mpfi,3.46,3.1,8.3,155.0,4750.0,14.6875,13.055555555555555,34184.0,Medium,False,True
3,142,mercedes-benz,gas,std,two,convertible,rwd,front,96.6,0.5850746268656719,0.8717948717948718,0.25,3685,ohcv,eight,234,mpfi,3.46,3.1,8.3,155.0,4750.0,14.6875,13.055555555555555,35056.0,Medium,False,True
0,122,mercedes-benz,gas,std,four,sedan,rwd,front,120.9,1.0,0.9743589743589746,0.7416666666666671,3900,ohcv,eight,308,mpfi,3.8,3.35,8.0,184.0,4500.0,16.785714285714285,14.6875,40960.0,Medium,False,True
1,122,mercedes-benz,gas,std,two,hardtop,rwd,front,112.0,0.8671641791044775,1.0,0.6333333333333334,3715,ohcv,eight,304,mpfi,3.8,3.35,8.0,184.0,4500.0,16.785714285714285,14.6875,45400.0,Medium,False,True
1,122,mercury,gas,turbo,two,hatchback,rwd,front,102.7,0.5567164179104479,0.6581196581196582,0.5833333333333334,2910,ohc,four,140,mpfi,3.78,3.12,8.0,175.0,5000.0,12.368421052631579,9.791666666666666,16503.0,Medium,False,True
2,161,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,0.24179104477611965,0.35042735042735107,0.25,1918,ohc,four,92,2bbl,2.97,3.23,9.4,68.0,5500.0,6.351351351351352,5.7317073170731705,5389.0,Low,False,True
2,161,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,0.24179104477611965,0.35042735042735107,0.25,1944,ohc,four,92,2bbl,2.97,3.23,9.4,68.0,5500.0,7.580645161290323,6.184210526315789,6189.0,Low,False,True
2,161,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,0.24179104477611965,0.35042735042735107,0.25,2004,ohc,four,92,2bbl,2.97,3.23,9.4,68.0,5500.0,7.580645161290323,6.184210526315789,6669.0,Low,False,True
1,161,mitsubishi,gas,turbo,two,hatchback,fwd,front,93.0,0.24179104477611965,0.2991452991452991,0.25,2145,ohc,four,98,spdi,3.03,3.39,7.6,102.0,5500.0,9.791666666666666,7.833333333333333,7689.0,Low,False,True
3,153,mitsubishi,gas,turbo,two,hatchback,fwd,front,96.3,0.4761194029850747,0.4358974358974365,0.13333333333333344,2370,ohc,four,110,spdi,3.17,3.46,7.5,116.0,5500.0,10.217391304347826,7.833333333333333,9959.0,Low,False,True
3,153,mitsubishi,gas,std,two,hatchback,fwd,front,96.3,0.4761194029850747,0.4358974358974365,0.13333333333333344,2328,ohc,four,122,2bbl,3.35,3.46,8.5,88.0,5000.0,9.4,7.34375,8499.0,Low,False,True
3,122,mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,0.4791044776119402,0.5128205128205127,0.20000000000000048,2833,ohc,four,156,spdi,3.58,3.86,7.0,145.0,5000.0,12.368421052631579,9.791666666666666,12629.0,Medium,False,True
3,122,mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,0.4791044776119402,0.5128205128205127,0.20000000000000048,2921,ohc,four,156,spdi,3.59,3.86,7.0,145.0,5000.0,12.368421052631579,9.791666666666666,14869.0,Medium,False,True
3,122,mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,0.4791044776119402,0.5128205128205127,0.20000000000000048,2926,ohc,four,156,spdi,3.59,3.86,7.0,145.0,5000.0,12.368421052631579,9.791666666666666,14489.0,Medium,False,True
1,125,mitsubishi,gas,std,four,sedan,fwd,front,96.3,0.4671641791044778,0.4358974358974365,0.31666666666666704,2365,ohc,four,122,2bbl,3.35,3.46,8.5,88.0,5000.0,9.4,7.34375,6989.0,Low,False,True
1,125,mitsubishi,gas,std,four,sedan,fwd,front,96.3,0.4671641791044778,0.4358974358974365,0.31666666666666704,2405,ohc,four,122,2bbl,3.35,3.46,8.5,88.0,5000.0,9.4,7.34375,8189.0,Low,False,True
1,125,mitsubishi,gas,turbo,four,sedan,fwd,front,96.3,0.4671641791044778,0.4358974358974365,0.31666666666666704,2403,ohc,four,110,spdi,3.17,3.46,7.5,116.0,5500.0,10.217391304347826,7.833333333333333,9279.0,Low,False,True
-1,137,mitsubishi,gas,std,four,sedan,fwd,front,96.3,0.4671641791044778,0.4358974358974365,0.31666666666666704,2403,ohc,four,110,spdi,3.17,3.46,7.5,116.0,5500.0,10.217391304347826,7.833333333333333,9279.0,Low,False,True
1,128,nissan,gas,std,two,sedan,fwd,front,94.5,0.3611940298507465,0.2991452991452991,0.5583333333333336,1889,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,7.580645161290323,6.351351351351352,5499.0,Low,False,True
1,128,nissan,diesel,std,two,sedan,fwd,front,94.5,0.3611940298507465,0.2991452991452991,0.5583333333333336,2017,ohc,four,103,idi,2.99,3.47,21.9,55.0,4800.0,5.222222222222222,4.7,7099.0,Low,True,False
1,128,nissan,gas,std,two,sedan,fwd,front,94.5,0.3611940298507465,0.2991452991452991,0.5583333333333336,1918,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,7.580645161290323,6.351351351351352,6649.0,Low,False,True
1,122,nissan,gas,std,four,sedan,fwd,front,94.5,0.3611940298507465,0.2991452991452991,0.5583333333333336,1938,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,7.580645161290323,6.351351351351352,6849.0,Low,False,True
1,103,nissan,gas,std,four,wagon,fwd,front,94.5,0.43432835820895516,0.2991452991452991,0.47500000000000026,2024,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,7.580645161290323,6.351351351351352,7349.0,Low,False,True
1,128,nissan,gas,std,two,sedan,fwd,front,94.5,0.3611940298507465,0.2991452991452991,0.5583333333333336,1951,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,7.580645161290323,6.351351351351352,7299.0,Low,False,True
1,128,nissan,gas,std,two,hatchback,fwd,front,94.5,0.3656716417910448,0.2991452991452991,0.4583333333333333,2028,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,7.580645161290323,6.351351351351352,7799.0,Low,False,True
1,122,nissan,gas,std,four,sedan,fwd,front,94.5,0.3611940298507465,0.2991452991452991,0.5583333333333336,1971,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,7.580645161290323,6.351351351351352,7499.0,Low,False,True
1,103,nissan,gas,std,four,wagon,fwd,front,94.5,0.43432835820895516,0.2991452991452991,0.47500000000000026,2037,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,7.580645161290323,6.351351351351352,7999.0,Low,False,True
2,168,nissan,gas,std,two,hardtop,fwd,front,95.1,0.3179104477611942,0.2991452991452991,0.4583333333333333,2008,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,7.580645161290323,6.351351351351352,8249.0,Low,False,True
0,106,nissan,gas,std,four,hatchback,fwd,front,97.2,0.4820895522388061,0.4188034188034192,0.5750000000000005,2324,ohc,four,120,2bbl,3.33,3.47,8.5,97.0,5200.0,8.703703703703704,6.911764705882353,8949.0,Low,False,True
0,106,nissan,gas,std,four,sedan,fwd,front,97.2,0.4820895522388061,0.4188034188034192,0.5750000000000005,2302,ohc,four,120,2bbl,3.33,3.47,8.5,97.0,5200.0,8.703703703703704,6.911764705882353,9549.0,Low,False,True
0,128,nissan,gas,std,four,sedan,fwd,front,100.4,0.6059701492537313,0.52991452991453,0.6083333333333337,3095,ohcv,six,181,mpfi,3.43,3.27,9.0,152.0,5200.0,13.823529411764707,10.681818181818182,13499.0,Medium,False,True
0,108,nissan,gas,std,four,wagon,fwd,front,100.4,0.6492537313432836,0.52991452991453,0.691666666666667,3296,ohcv,six,181,mpfi,3.43,3.27,9.0,152.0,5200.0,13.823529411764707,10.681818181818182,14399.0,Medium,False,True
0,108,nissan,gas,std,four,sedan,fwd,front,100.4,0.6492537313432836,0.52991452991453,0.6083333333333337,3060,ohcv,six,181,mpfi,3.43,3.27,9.0,152.0,5200.0,12.368421052631579,9.4,13499.0,Medium,False,True
3,194,nissan,gas,std,two,hatchback,rwd,front,91.3,0.4417910447761193,0.6495726495726502,0.1583333333333338,3071,ohcv,six,181,mpfi,3.43,3.27,9.0,160.0,5200.0,12.368421052631579,9.4,17199.0,Medium,False,True
3,194,nissan,gas,turbo,two,hatchback,rwd,front,91.3,0.4417910447761193,0.6495726495726502,0.1583333333333338,3139,ohcv,six,181,mpfi,3.43,3.27,7.8,200.0,5200.0,13.823529411764707,10.217391304347826,19699.0,High,False,True
1,231,nissan,gas,std,two,hatchback,rwd,front,99.2,0.5582089552238807,0.6495726495726502,0.1583333333333338,3139,ohcv,six,181,mpfi,3.43,3.27,9.0,160.0,5200.0,12.368421052631579,9.4,18399.0,Medium,False,True
0,161,peugot,gas,std,four,sedan,rwd,front,107.9,0.6805970149253731,0.6923076923076928,0.7416666666666671,3020,l,four,120,mpfi,3.46,3.19,8.4,97.0,5000.0,12.368421052631579,9.791666666666666,11900.0,Low,False,True
0,161,peugot,diesel,turbo,four,sedan,rwd,front,107.9,0.6805970149253731,0.6923076923076928,0.7416666666666671,3197,l,four,152,idi,3.7,3.52,21.0,95.0,4150.0,8.392857142857142,7.121212121212121,13200.0,Low,True,False
0,122,peugot,gas,std,four,wagon,rwd,front,114.2,0.8626865671641792,0.6923076923076928,0.9083333333333338,3230,l,four,120,mpfi,3.46,3.19,8.4,97.0,5000.0,12.368421052631579,9.791666666666666,12440.0,Low,False,True
0,122,peugot,diesel,turbo,four,wagon,rwd,front,114.2,0.8626865671641792,0.6923076923076928,0.9083333333333338,3430,l,four,152,idi,3.7,3.52,21.0,95.0,4150.0,9.4,9.4,13860.0,Low,True,False
0,161,peugot,gas,std,four,sedan,rwd,front,107.9,0.6805970149253731,0.6923076923076928,0.7416666666666671,3075,l,four,120,mpfi,3.46,2.19,8.4,95.0,5000.0,12.368421052631579,9.791666666666666,15580.0,Low,False,True
0,161,peugot,diesel,turbo,four,sedan,rwd,front,107.9,0.6805970149253731,0.6923076923076928,0.7416666666666671,3252,l,four,152,idi,3.7,3.52,21.0,95.0,4150.0,8.392857142857142,7.121212121212121,16900.0,Low,True,False
0,122,peugot,gas,std,four,wagon,rwd,front,114.2,0.8626865671641792,0.6923076923076928,0.7416666666666671,3285,l,four,120,mpfi,3.46,2.19,8.4,95.0,5000.0,12.368421052631579,9.791666666666666,16695.0,Low,False,True
0,122,peugot,diesel,turbo,four,wagon,rwd,front,114.2,0.8626865671641792,0.6923076923076928,0.9083333333333338,3485,l,four,152,idi,3.7,3.52,21.0,95.0,4150.0,9.4,9.4,17075.0,Low,True,False
0,161,peugot,gas,std,four,sedan,rwd,front,107.9,0.6805970149253731,0.6923076923076928,0.7416666666666671,3075,l,four,120,mpfi,3.46,3.19,8.4,97.0,5000.0,12.368421052631579,9.791666666666666,16630.0,Low,False,True
